variable,years,short_desc,long_desc,sources,category,plaintext_cite,bibtex_cite,plaintext_cite2,bibtex_cite2,plaintext_cite3,bibtex_cite3
ranney1_sen_dem_prop_10yr,1947-2010,Proportion of Democratic state senators: 10-yr. moving average,Proportion of state senators who are Democrats (10-year moving average).,"Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
ranney2_hs_dem_prop_10yr,1947-2010,Proportion of Democratic state house members: 10-yr. moving average,Proportion of state house members who are Democrats (10-year moving average).,"Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
ranney3_gub_prop_10yr,1947-2010,Proportion of two-party vote for Democratic gubernatorial candidate: 10-yr. moving average,Proportion of the two-party vote that the Democratic gubernatorial candidate got in the last election (10-year moving average).,"Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
ranney4_control_10yr,1947-2010,Party control of state government: 10-yr. moving average,"0 = unified Republican control, 1 = unified Democratic control, .5 = neither. Ten-year moving average.","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
ranney4_control_alt_10yr,1947-2010,Democratic control of state government: 10- yr. moving average,"Dummy: 1 = unified Democratic control, 0 = else. Ten-year moving average. Note: this is the way dimension #4 of the Ranney index has been measured in the past. This method could be very problematic. The underlying assumption of this method is that unified Democratic control is important, but that the difference between unified Republican control and split control isn’t.","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
ranney_4yrs,1941-2010,"Four-year moving average of proportion of Democratic control in state senate, house, governor, and government","Four-year moving average of variables for proportion of Democratic control in state senate, house, governor’s office, and overall government (not the alternative measure).","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
ranney_6yrs,1943-2010,"Six-year moving average of proportion of Democratic control in state senate, house, governor, and government","Six-year moving average of variables for proportion of Democratic control in state senate, house, governor’s office, and overall government (not the alternative measure).","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
ranney_8yrs,1945-2010,"Eight-year moving average of proportion of Democratic control in state senate, house, governor, and government","Eight-year moving average of variables for proportion of Democratic control in state senate, house, governor’s office, and overall government (not the alternative measure).","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
ranney_10yrs,1947-2010,"Ten-year moving average of proportion of Democratic control in state senate, house, governor, and government","Ten-year moving average of variables for proportion of Democratic control in state senate, house, governor’s office, and overall government (not the alternative measure).","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
ranney_4yrs_alt,1941-2010,"Four-year moving average of proportion of Democratic control in state senate, house, governor, and government (alt.)","Four-year moving average of variables for proportion of Democratic control in state senate, house, governor’s office, and overall government (using the alternative measure).","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
ranney_6yrs_alt,1943-2010,"Six-year moving average of proportion of Democratic control in state senate, house, governor, and government (alt.)","Six-year moving average of variables for proportion of Democratic control in state senate, house, governor’s office, and overall government (using the alternative measure).","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
ranney_8yrs_alt,1945-2010,"Eight-year moving average of proportion of Democratic control in state senate, house, governor, and government (alt.)","Eight-year moving average of variables for proportion of Democratic control in state senate, house, governor’s office, and overall government (using the alternative measure).","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
ranney_10yrs_alt,1947-2010,"Ten-year moving average of proportion of Democratic control in state senate, house, governor, and government (alt.)","Ten-year moving average of variables for proportion of Democratic control in state senate, house, governor’s office, and overall government (not the alternative measure).","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co. 
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910?DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
folded_ranney_4yrs,1941-2010,Ranney measure of electoral competitiveness: 4-yr. moving average,"Ranney measures of competitiveness. Four-year moving average. Varies between .5 and 1, with higher values representing higher levels of competitiveness.","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
folded_ranney_6yrs,1943-2010,Ranney measure of electoral competitiveness: 6-yr. moving average,"Ranney measures of competitiveness. Six-year moving average. Varies between .5 and 1, with higher values representing higher levels of competitiveness.","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
folded_ranney_8yrs,1945-2010,Ranney measure of electoral competitiveness: 8-yr. moving average,"Ranney measures of competitiveness. Eight-year moving average. Varies between .5 and 1, with higher values representing higher levels of competitiveness.","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
folded_ranney_10yrs,1947-2010,Ranney measure of electoral competitiveness: 10-yr. moving average,"Ranney measures of competitiveness. Ten-year moving average. Varies between .5 and 1, with higher values representing higher levels of competitiveness.","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Stata Code: gen folded_ranney_10yrs=1-(abs(ranney_10yrs-.5))",elections,NA,NA,NA,NA,NA,NA
folded_ranney_alt_4yrs,1941-2010,Ranney measure of electoral competitiveness: 4-yr. moving average using alt. state gov’t. measure,"Ranney measures of competitiveness. Four-year moving average using the alternative state government measure. Varies between .5 and 1, with higher values representing higher levels of competitiveness.","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Stata Code: gen folded_ranney_alt_4yrs=1-(abs(ranney_4yrs_alt-.5))",elections,NA,NA,NA,NA,NA,NA
folded_ranney_alt_6yrs,1943-2010,Ranney measure of electoral competitiveness: 6-yr. moving average using alt. state gov’t. measure,"Ranney measures of competitiveness. Six-year moving average using the alternative state government measure. Varies between .5 and 1, with higher values representing higher levels of competitiveness.","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Stata Code: gen folded_ranney_alt_6yrs=1-(abs(ranney_6yrs_alt-.5))",elections,NA,NA,NA,NA,NA,NA
folded_ranney_alt_8yrs,1945-2010,Ranney measure of electoral competitiveness: 8-yr. moving average using alt. state gov’t. measure,"Ranney measures of competitiveness. Eight-year moving average using the alternative state government measure. Varies between .5 and 1, with higher values representing higher levels of competitiveness.","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Stata Code: gen folded_ranney_alt_8yrs=1-(abs(ranney_8yrs_alt-.5))",elections,NA,NA,NA,NA,NA,NA
folded_ranney_alt_10yrs,1947-2010,Ranney measure of electoral competitiveness: 10-yr. moving average using alt. state gov’t. measure,"Ranney measures of competitiveness. Ten-year moving average using the alternative state government measure. Varies between .5 and 1, with higher values representing higher levels of competitiveness.","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Stata Code: gen folded_ranney_alt_10yrs=1-(abs(ranney_10yrs_alt-.5))",elections,NA,NA,NA,NA,NA,NA
hvd1_winper_4yr,1973-2010,Average pct. winning candidates received in election: 4-yr. moving average,"Average percent that winning candidates got in this year’s election (of the total vote), and in the elections whose values were put in the three calendar years prior to that. Average weighted by the number of seats up in each election in the chamber-year.
Four-year moving average.","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: for an even-year, in an even-year election state with all of a chamber’s seats up, this would give one-fourth weight to the current election, one-half weight to the last election, and one-fourth weight to the second to last election. For an odd year in such a state, half weight would be given to the election held last year, and half weight would be given to the election before that. WARNING: users can drop the even years in even year states if they don’t like the one-fourth/one-half/one-fourth weighting referred to above. For states with four-year election cycles, like Alabama, users might consider only keeping the values from three years after the calendar year of the election.
Candidates in FFA-MMDs have their % multiplied by the number of seats in the FFA-MMD. After computing this quantity for both chambers, those two quantities are averaged.",elections,NA,NA,NA,NA,NA,NA
hvd2_winmargin_4yr,1973-2010,Average winning margin by which candidates won election: 4-yr. moving average,Average percent margin (of the total vote) by which winning candidates win (in this election or the elections that were put into the last three calendar years). Average weighted by the number of seats up in each election in the chamber-year. Four-year moving average.,"Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: For FFA-MMDs, this is compared to the loser with the largest % of the vote. In FFA-MMDs, this margin is multiplied by the number of seats in the FFA-MMD. After computing this quantity for both chambers, those two quantities are averaged.",elections,NA,NA,NA,NA,NA,NA
hvd3_uncont_4yr,1973-2010,Percent uncontested seats in an election: 4-yr. moving average,Percent of seats that are uncontested (in this election or the elections that were put into the last three calendar years). Four-year moving average.,"Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: This takes under-contested seats in FFA-MMDs into account. For example, a three seat FFA-MMD with two Democrats and three Republicans would contribute '3' to the denominator, and '1' to the numerator of this variable. After computing this quantity for both chambers, those two quantities are averaged.",elections,NA,NA,NA,NA,NA,NA
hvd4_safeseat_4yr,1973-2010,Pct. of 'safe' seats: 4-yr. moving average,Percent of seats that are 'safe' (in this election or the elections that were put into the last three calendar years). 'Safe' is considered a winning margin of 10% or more. Four-year moving average.,"Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: For FFA-MMDs, a winner is considered 'safe' when their margin times the number of seats is greater than 10%. For FFA-MMDs, margin is computed as above. After computing this quantity for both chambers, those two quantities are averaged.",elections,NA,NA,NA,NA,NA,NA
unusable_seats_4yr_per,1973-2010,Pct. of seats unusable for other measures: 4-yr. moving average,"Percent of seats in this year and the three years prior to that are 'unuseable' for the Holbrook and Van Dunk measure. Four-year moving average. 'Not useable' includes such things as missing vote returns (but not in uncontested elections in states that don’t put such elections on the ballot), missing party codes, or elections that only report the winner and information about the existence of other candidates is unknown.","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: Descriptive statistics for variable: 89.0% of state-years have 0% unusable seats, 98.7% have 5% or less unusable seats, 99.2% of state-years have 10% or less unusable seats, eight state-years have between 10 and 20% unusable seats, and eight more state-years have more than 20% unusable seats. The worst state-year has 49.8% of its seats with missing information.",elections,NA,NA,NA,NA,NA,NA
hvd1_winper_6yr,1975-2010,Average pct. winning candidates received in election: 6-yr. moving average,"Average percent that winning candidates got in this year’s election (of the total vote), and in the elections whose values were put in the three calendar years prior to that. Average weighted by the number of seats up in each election in the chamber-year. Six- year moving average.","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: for an even-year, in an even-year election state with all of a chamber’s seats up, this would give one-fourth weight to the current election, one-half weight to the last election, and one-fourth weight to the second to last election. For an odd year in such a state, half weight would be given to the election held last year, and half weight would be given to the election before that. WARNING: users can drop the even years in even year states if they don’t like the one-fourth/one-half/one-fourth weighting referred to above. For states with four-year election cycles, like Alabama, users might consider only keeping the values from three years after the calendar year of the election.
Candidates in FFA-MMDs have their % multiplied by the number of seats in the FFA-MMD. After computing this quantity for both chambers, those two quantities are averaged.",elections,NA,NA,NA,NA,NA,NA
hvd2_winmargin_6yr,1975-2010,Average winning margin by which candidates won election: 6-yr. moving average,Average percent margin (of the total vote) by which winning candidates win (in this election or the elections that were put into the last three calendar years). Average weighted by the number of seats up in each election in the chamber-year. Six-year moving average.,"Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: For FFA-MMDs, this is compared to the loser with the largest % of the vote. In FFA-MMDs, this margin is multiplied by the number of seats in the FFA-MMD. After computing this quantity for both chambers, those two quantities are averaged.",elections,NA,NA,NA,NA,NA,NA
hvd3_uncont_6yr,1975-2010,Percent uncontested seats in an election: 6-yr. moving average,Percent of seats that are uncontested (in this election or the elections that were put into the last three calendar years). Six-year moving average.,"Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: This takes under-contested seats in FFA-MMDs into account. For example, a three seat FFA-MMD with two Democrats and three Republicans would contribute '3' to the denominator, and '1' to the numerator of this variable. After computing this quantity for both chambers, those two quantities are averaged.",elections,NA,NA,NA,NA,NA,NA
hvd4_safeseat_6yr,1975-2010,Pct. of 'safe' seats: 6-yr. moving average,Percent of seats that are 'safe' (in this election or the elections that were put into the last three calendar years). 'Safe' is considered a winning margin of 10% or more. Six-year moving average.,"Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: For FFA-MMDs, a winner is considered 'safe' when their margin times the number of seats is greater than 10%. For FFA-MMDs, margin is computed as above. After computing this quantity for both chambers, those two quantities are averaged.",elections,NA,NA,NA,NA,NA,NA
unusable_seats_6yr_per,1975-2010,Pct. of seats unusable for other measures: 6-yr. moving average,"Percent of seats in this year and the three years prior to that are 'unuseable' for the Holbrook and Van Dunk measure. Six-year moving average. 'Not useable' includes such things as missing vote returns (but not in uncontested elections in states that don’t put such elections on the ballot), missing party codes, or elections that only report the winner and information about the existence of other candidates is unknown.","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: Descriptive statistics for variable: 89.0% of state-years have 0% unusable seats, 98.7% have 5% or less unusable seats, 99.2% of state-years have 10% or less unusable seats, eight state-years have between 10 and 20% unusable seats, and eight more state-years have more than 20% unusable seats. The worst state-year has 49.8% of its seats with missing information.",elections,NA,NA,NA,NA,NA,NA
hvd1_winper_8yr,1977-2010,Average pct. winning candidates received in election: 8-yr. moving average,"Average percent that winning candidates got in this year’s election (of the total vote), and in the elections whose values were put in the three calendar years prior to that. Average weighted by the number of seats up in each election in the chamber-year.
Eight-year moving average.","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: for an even-year, in an even-year election state with all of a chamber’s seats up, this would give one-fourth weight to the current election, one-half weight to the last election, and one-fourth weight to the second to last election. For an odd year in such a state, half weight would be given to the election held last year, and half weight would be given to the election before that. WARNING: users can drop the even years in even year states if they don’t like the one-fourth/one-half/one-fourth weighting referred to above. For states with four-year election cycles, like Alabama, users might consider only keeping the values from three years after the calendar year of the election.
Candidates in FFA-MMDs have their % multiplied by the number of seats in the FFA-MMD. After computing this quantity for both chambers, those two quantities are averaged.",elections,NA,NA,NA,NA,NA,NA
hvd2_winmargin_8yr,1977-2010,Average winning margin by which candidates won election: 8-yr. moving average,Average percent margin (of the total vote) by which winning candidates win (in this election or the elections that were put into the last three calendar years). Average weighted by the number of seats up in each election in the chamber-year. Eight-year moving average.,"Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: For FFA-MMDs, this is compared to the loser with the largest % of the vote. In FFA-MMDs, this margin is multiplied by the number of seats in the FFA-MMD. After computing this quantity for both chambers, those two quantities are averaged.",elections,NA,NA,NA,NA,NA,NA
hvd3_uncont_8yr,1977-2010,Percent uncontested seats in an election: 8-yr. moving average,Percent of seats that are uncontested (in this election or the elections that were put into the last three calendar years). Eight-year moving average.,"Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: This takes under-contested seats in FFA-MMDs into account. For example, a three seat FFA-MMD with two Democrats and three Republicans would contribute '3' to the denominator, and '1' to the numerator of this variable. After computing this quantity for both chambers, those two quantities are averaged.",elections,NA,NA,NA,NA,NA,NA
hvd4_safeseat_8yr,1977-2010,Pct. of 'safe' seats: 8-yr. moving average,Percent of seats that are 'safe' (in this election or the elections that were put into the last three calendar years). 'Safe' is considered a winning margin of 10% or more. Eight-year moving average.,"Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: For FFA-MMDs, a winner is considered 'safe' when their margin times the number of seats is greater than 10%. For FFA-MMDs, margin is computed as above. After computing this quantity for both chambers, those two quantities are averaged.",elections,NA,NA,NA,NA,NA,NA
unusable_seats_8yr_per,1977-2010,Pct. of seats unusable for other measures: 8-yr. moving average,"Percent of seats in this year and the three years prior to that are 'unuseable' for the Holbrook and Van Dunk measure. Eight-year moving average. 'Not useable' includes such things as missing vote returns (but not in uncontested elections in states that don’t put such elections on the ballot), missing party codes, or elections that only report the winner and information about the existence of other candidates is unknown.","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: Descriptive statistics for variable: 89.0% of state-years have 0% unusable seats, 98.7% have 5% or less unusable seats, 99.2% of state-years have 10% or less unusable seats, eight state-years have between 10 and 20% unusable seats, and eight more state-years have more than 20% unusable seats. The worst state-year has 49.8% of its seats with missing information.",elections,NA,NA,NA,NA,NA,NA
hvd1_winper_10yr,1979-2010,Average pct. winning candidates received in election: 10-yr. moving average,"Average percent that winning candidates got in this year’s election (of the total vote), and in the elections whose values were put in the three calendar years prior to that. Average weighted by the number of seats up in each election in the chamber-year. Ten- year moving average.","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: for an even-year, in an even-year election state with all of a chamber’s seats up, this would give one-fourth weight to the current election, one-half weight to the last election, and one-fourth weight to the second to last election. For an odd year in such a state, half weight would be given to the election held last year, and half weight would be given to the election before that. WARNING: users can drop the even years in even year states if they don’t like the one-fourth/one-half/one-fourth weighting referred to above. For states with four-year election cycles, like Alabama, users might consider only keeping the values from three years after the calendar year of the election. Candidates in FFA-MMDs have their % multiplied by the number of seats in the FFA-MMD. After computing this quantity for both chambers, those two quantities are averaged.",elections,NA,NA,NA,NA,NA,NA
hvd2_winmargin_10yr,1979-2010,Average winning margin by which candidates won election: 10-yr. moving average,Average percent margin (of the total vote) by which winning candidates win (in this election or the elections that were put into the last three calendar years). Average weighted by the number of seats up in each election in the chamber-year. Ten-year moving average.,"Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: For FFA-MMDs, this is compared to the loser with the largest % of the vote. In FFA-MMDs, this margin is multiplied by the number of seats in the FFA-MMD. After computing this quantity for both chambers, those two quantities are averaged.",elections,NA,NA,NA,NA,NA,NA
hvd3_uncont_10yr,1979-2010,Percent uncontested seats in an election: 10-yr. moving average,Percent of seats that are uncontested (in this election or the elections that were put into the last three calendar years). Ten-year moving average.,"Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: This takes under-contested seats in FFA-MMDs into account. For example, a three seat FFA-MMD with two Democrats and three Republicans would contribute '3' to the denominator, and '1' to the numerator of this variable. After computing this quantity for both chambers, those two quantities are averaged.",elections,NA,NA,NA,NA,NA,NA
hvd4_safeseat_10yr,1979-2010,Pct. of 'safe' seats: 10-yr. moving average,Percent of seats that are 'safe' (in this election or the elections that were put into the last three calendar years). 'Safe' is considered a winning margin of 10% or more. Ten-year moving average.,"Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: For FFA-MMDs, a winner is considered 'safe' when their margin times the number of seats is greater than 10%. For FFA-MMDs, margin is computed as above. After computing this quantity for both chambers, those two quantities are averaged.",elections,NA,NA,NA,NA,NA,NA
